,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1618,1244,174800.0,166400.0,160400.0,151900.0
1619,848,148000.0,144900.0,141000.0,138400.0
1620,492,161000.0,154400.0,145600.0,137300.0
1621,353,131400.0,128000.0,130400.0,125200.0
1622,2486,39700.0,43700.0,43200.0,45200.0
1623,1499,104833.0,100800.0,99200.0,98700.0
1624,1166,234300.0,214600.0,240800.0,211400.0
1625,505,94100.0,96600.0,94200.0,94100.0
1626,556,308200.0,317600.0,396100.0,338700.0
1627,9,187000.0,180000.0,231600.0,185300.0
1628,3,371600.0,366500.0,436500.0,374900.0
1629,47,699600.0,697200.0,881800.0,764000.0
1630,1774,92100.0,90100.0,92900.0,89500.0
1631,63,172900.0,168300.0,224800.0,172600.0
1632,1323,165102.0,160242.0,153239.0,153598.0
1633,984,464300.0,430600.0,440300.0,438200.0
1634,165,408900.0,376200.0,436300.0,389700.0
1635,61,658600.0,640500.0,812000.0,683000.0
1636,1976,558700.0,469600.0,496400.0,441700.0
1637,1462,98700.0,96400.0,99900.0,97800.0
1638,1319,183300.0,173900.0,162200.0,161900.0
1639,521,96500.0,92400.0,91200.0,89300.0
1640,1257,108600.0,110400.0,114800.0,113400.0
1641,1583,59055.0,61003.0,71097.0,71974.0
1642,2191,146800.0,141300.0,157300.0,145200.0
1643,114,445200.0,431700.0,480600.0,400800.0
1644,13,588100.0,583000.0,750400.0,652100.0
1645,614,113300.0,106600.0,105100.0,94600.0
1646,170,532300.0,515200.0,590400.0,515100.0
1647,1299,310500.0,281600.0,264400.0,250200.0
1648,1291,157600.0,148100.0,156300.0,146600.0
1649,1204,154300.0,145500.0,170100.0,151600.0
1650,193,229200.0,228200.0,231200.0,223200.0
1651,264,145000.0,142900.0,153100.0,144800.0
1652,514,145200.0,140300.0,141700.0,135200.0
1653,912,111366.0,112272.0,124686.0,119686.0
1654,1912,164500.0,157000.0,156700.0,151500.0
1655,270,159000.0,155500.0,152300.0,152300.0
1656,771,123000.0,116800.0,116600.0,114400.0
1657,942,90196.0,90989.0,98881.0,99631.0
1658,282,65200.0,63300.0,64600.0,54900.0
1659,435,62900.0,65200.0,70400.0,66700.0
